post_id,tweet,subject_keyword,sentiment
IPL300R_042,tbh honestly mi bowling was all over the place tdy seriously,MI,negative
IPL300R_197,"ngl  bro dc bowling without plan lag rhi thi, bas hope pe chal rha tha #cricket",DC,negative
IPL300R_109,"ngl bro KKR bowling without plan lag rhi thi, bas hope pe chal rha tha",KKR,negative
IPL300R_119,"dekho KKR ka match dekha, few good moments but result abhi open hai bas",KKR,neutral
IPL300R_034,"bhai MI finally playing like a proper champion side, maza aa gya imo",MI,positive
IPL300R_252,bhai gt fans ka BP badhane ka contract le rakha h kya dekhte hain,GT,negative
IPL300R_041,"bro fielding from mumbai was painful, easy catches drop kaise #cricket",MI,negative
IPL300R_007,"yaar credit where due, rcb bowling unit ne match bana diya seriously",RCB,positive
IPL300R_110,"not impressed with KKR, too many dot balls and panic shots #cricket??",KKR,negative
IPL300R_257,dekho gt batting collapse dekh ke mood off ho gya bas...,GT,negative
IPL300R_191,bhai ye dc ka death bowling problem kab solve hoga bhai fr,DC,negative
IPL300R_262,"yaar  titans bowling first half good thi, second half thoda loose",GT,neutral
IPL300R_089,ngl  yellow army ka top order stable hai but finishers ko chance chahiye kya scene hai!!,CSK,neutral
IPL300R_204,"ngl delhi batting decent thi, bowling ko thoda aur test milega #IPL",DC,neutral
IPL300R_027,"bhai for rcb, this was more like a learning match than disaster",RCB,neutral
IPL300R_286,dekho LSG ka captaincy call today was really poor imo dekhte hain,LSG,negative
IPL300R_226,"arre  bro punjab bowling without plan lag rhi thi, bas hope pe chal rha tha",PBKS,negative
IPL300R_105,KKR  fans deserve better than this random planning #IPL,KKR,negative
IPL300R_075,bhai  thala team fans deserve better than this random planning bas,CSK,negative
IPL300R_028,"arre rcb ke fans mixed feel karenge, positives bhi hain issues bhi seriously",RCB,neutral
IPL300R_292,"lucknow squad looks interesting, but abhi judgement jaldi hoga dekhte hain...",LSG,neutral
IPL300R_103,honestly honestly KKR bowling was all over the place today seriously,KKR,negative
